"","urb_delinamento_2019","urb_bacia_2021"
"b031",12,8.084695541
"b034",29,18.94277725
"b039",46,26.74059745
"b040",31,21.52492345
"b066",82,79.51531731
"b202",46,45.4842052
"b204",99,92.58445292
"b309",70,45.74087294
"b310",10,19.45288144
"b320",0,0
"b321",0,0
"b344",100,100
"b539",18,11.8791659
"b543",17,9.016309585
"b545",46,32.20316908
"b570",99,94.47298292
"b574",76,49.38191021
"b578",69,53.68300033
"b579",99,100
"b581",24,10.46251843
"b589",22,18.57076651
"b594",100,99.77586162
"b620",26,25.2425577
"b627",6,1.365120178
"b631",0,0
"b637",57,49.47905553
"b673",52,41.06719314
"b711",71,73.64531028
"ebbrc",0,0
"ebbsn",0,0
